model,game,condition,recommendation,attempted_n,parsed,compliance_rate,compliance_rate_parsed,ci_low,ci_high,p_vs_0_5
deepseek-v4-pro,Rock-Paper-Scissors,C1,Scissors,5,0,0.0,,0.0,0.5218237501049814,0.0625
deepseek-v4-pro,Rock-Paper-Scissors,C2,Paper,5,0,0.0,,0.0,0.5218237501049814,0.0625
deepseek-v4-pro,Rock-Paper-Scissors,C2,Rock,5,0,0.0,,0.0,0.5218237501049814,0.0625
deepseek-v4-pro,Rock-Paper-Scissors,C2,Scissors,5,0,0.0,,0.0,0.5218237501049814,0.0625
deepseek-v4-pro,Rock-Paper-Scissors,C3,Paper,5,0,0.0,,0.0,0.5218237501049814,0.0625
deepseek-v4-pro,Rock-Paper-Scissors,C3,Rock,5,0,0.0,,0.0,0.5218237501049814,0.0625
deepseek-v4-pro,Rock-Paper-Scissors,C3,Scissors,5,0,0.0,,0.0,0.5218237501049814,0.0625
deepseek-v4-pro,Rock-Paper-Scissors,C4,Paper,5,0,0.0,,0.0,0.5218237501049814,0.0625
deepseek-v4-pro,Rock-Paper-Scissors,C4,Rock,5,0,0.0,,0.0,0.5218237501049814,0.0625
deepseek-v4-pro,Rock-Paper-Scissors,C4,Scissors,5,0,0.0,,0.0,0.5218237501049814,0.0625
deepseek-v4-pro,Rock-Paper-Scissors,C5,Paper,5,0,0.0,,0.0,0.5218237501049814,0.0625
deepseek-v4-pro,Rock-Paper-Scissors,C5,Rock,5,0,0.0,,0.0,0.5218237501049814,0.0625
deepseek-v4-pro,Rock-Paper-Scissors,C5,Scissors,5,0,0.0,,0.0,0.5218237501049814,0.0625
deepseek-v4-pro,Rock-Paper-Scissors,C7-fake,Paper,5,0,0.0,,0.0,0.5218237501049814,0.0625
deepseek-v4-pro,Rock-Paper-Scissors,C7-fake,Rock,5,0,0.0,,0.0,0.5218237501049814,0.0625
deepseek-v4-pro,Rock-Paper-Scissors,C7-fake,Scissors,5,0,0.0,,0.0,0.5218237501049814,0.0625
deepseek-v4-pro,Rock-Paper-Scissors,C7-real,Paper,5,0,0.0,,0.0,0.5218237501049814,0.0625
deepseek-v4-pro,Rock-Paper-Scissors,C7-real,Rock,5,0,0.0,,0.0,0.5218237501049814,0.0625
deepseek-v4-pro,Rock-Paper-Scissors,C7-real,Scissors,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,3x3 Dominated Strategy,C1,Down,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,3x3 Dominated Strategy,C2,Down,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,3x3 Dominated Strategy,C3,Down,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,3x3 Dominated Strategy,C4,Middle,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,3x3 Dominated Strategy,C4,Up,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,3x3 Dominated Strategy,C5,Middle,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,3x3 Dominated Strategy,C5,Up,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,3x3 Dominated Strategy,C7-fake,Middle,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,3x3 Dominated Strategy,C7-fake,Up,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,3x3 Dominated Strategy,C7-real,Down,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Battle of the Sexes,C1,Football,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Battle of the Sexes,C1,Opera,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Battle of the Sexes,C2,Football,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Battle of the Sexes,C2,Opera,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Battle of the Sexes,C3,Football,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Battle of the Sexes,C3,Opera,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Battle of the Sexes,C4,Football,5,5,0.0,0.0,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Battle of the Sexes,C4,Opera,5,5,0.4,0.4,0.05274495052631566,0.8533672003653274,1.0
gemini-3.1-pro,Battle of the Sexes,C5,Football,5,5,0.4,0.4,0.05274495052631566,0.8533672003653274,1.0
gemini-3.1-pro,Battle of the Sexes,C5,Opera,5,5,0.6,0.6,0.14663279963467254,0.9472550494736843,1.0
gemini-3.1-pro,Battle of the Sexes,C7-fake,Football,5,5,0.0,0.0,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Battle of the Sexes,C7-fake,Opera,5,5,0.0,0.0,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Battle of the Sexes,C7-real,Football,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Battle of the Sexes,C7-real,Opera,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Chicken,C1,Straight,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Chicken,C1,Swerve,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Chicken,C2,Straight,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Chicken,C2,Swerve,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Chicken,C3,Straight,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Chicken,C3,Swerve,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Chicken,C4,Straight,5,5,0.0,0.0,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Chicken,C4,Swerve,5,5,0.0,0.0,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Chicken,C5,Straight,5,5,0.0,0.0,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Chicken,C5,Swerve,5,5,0.0,0.0,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Chicken,C7-fake,Straight,5,5,0.0,0.0,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Chicken,C7-fake,Swerve,5,4,0.0,0.0,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Chicken,C7-real,Straight,5,5,0.8,0.8,0.28358206388191054,0.9949492366205319,0.375
gemini-3.1-pro,Chicken,C7-real,Swerve,5,5,0.8,0.8,0.28358206388191054,0.9949492366205319,0.375
gemini-3.1-pro,Prisoner's Dilemma,C1,Defect,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Prisoner's Dilemma,C2,Defect,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Prisoner's Dilemma,C3,Defect,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Prisoner's Dilemma,C4,Cooperate,5,5,0.0,0.0,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Prisoner's Dilemma,C5,Cooperate,5,5,0.0,0.0,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Prisoner's Dilemma,C7-fake,Cooperate,5,5,0.0,0.0,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Prisoner's Dilemma,C7-real,Defect,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Pure Coordination,C1,A,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Pure Coordination,C1,B,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Pure Coordination,C2,A,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Pure Coordination,C2,B,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Pure Coordination,C3,A,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Pure Coordination,C3,B,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Pure Coordination,C4,A,5,5,0.0,0.0,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Pure Coordination,C4,B,5,5,0.8,0.8,0.28358206388191054,0.9949492366205319,0.375
gemini-3.1-pro,Pure Coordination,C5,A,5,5,0.0,0.0,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Pure Coordination,C5,B,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Pure Coordination,C7-fake,A,5,5,0.0,0.0,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Pure Coordination,C7-fake,B,5,5,0.0,0.0,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Pure Coordination,C7-real,A,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Pure Coordination,C7-real,B,5,5,1.0,1.0,0.47817624989501856,1.0,0.0625
gemini-3.1-pro,Rock-Paper-Scissors,C1,Paper,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Rock-Paper-Scissors,C1,Rock,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Rock-Paper-Scissors,C1,Scissors,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Rock-Paper-Scissors,C2,Paper,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Rock-Paper-Scissors,C2,Rock,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Rock-Paper-Scissors,C2,Scissors,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Rock-Paper-Scissors,C3,Paper,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Rock-Paper-Scissors,C3,Rock,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Rock-Paper-Scissors,C3,Scissors,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Rock-Paper-Scissors,C4,Paper,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Rock-Paper-Scissors,C4,Rock,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Rock-Paper-Scissors,C4,Scissors,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Rock-Paper-Scissors,C5,Paper,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Rock-Paper-Scissors,C5,Rock,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Rock-Paper-Scissors,C5,Scissors,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Rock-Paper-Scissors,C7-fake,Paper,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Rock-Paper-Scissors,C7-fake,Rock,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Rock-Paper-Scissors,C7-fake,Scissors,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Rock-Paper-Scissors,C7-real,Paper,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Rock-Paper-Scissors,C7-real,Rock,5,0,0.0,,0.0,0.5218237501049814,0.0625
gemini-3.1-pro,Rock-Paper-Scissors,C7-real,Scissors,5,0,0.0,,0.0,0.5218237501049814,0.0625
gpt-5.4,3x3 Dominated Strategy,C1,Down,5,0,0.0,,0.0,0.5218237501049814,0.0625
